;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/story/campaign/ashley_ice_biome_unlock_01;Oh, that might be a more friendly biome to visit than the Acidic Plains. Did you find any particular location that we should scout there?;Okej, może trafiliśmy na bardziej przyjazne miejsce niż Kwasowa Równina. Czy znalazłeś jakąś konkretną miejscówkę, którą powinniśmy sprawdzić?;О, звучит куда приятнее, чем кислотные равнины! Ты нашёл там какую-то конкретную точку, которую стоит разведать?;Oh, ce biome sera peut-être plus sympa à visiter que celui des plaines acides. T’as trouvé un emplacement en particulier qu’on devrait examiner là-bas ?;Oh, das klingt nach einem netteren Biom als die säurehaltigen Ebenen. Hast du dort einen bestimmten Ort gefunden, den wir auskundschaften sollten?;Oh, puede que sea un bioma más accesible que las Llanuras ácidas. ¿Deberíamos explorar alguna ubicación en particular?;Ah, esse bioma pode ser mais amigável para explorar do que as Planícies Ácidas. Você encontrou algum local específico que deveríamos investigar por lá?;哦，那可能是一个比酸性平原更友好的生物群落。你有发现什么我们需要去侦察的特定地点吗？;酸性の平原よりは居心地がよさそうに聞こえるわね。その地域で特に偵察したほうがいい地点はある？;아, 산성 지대보다는 방문하기에 더 괜찮은 생물군계일지도 모르겠네. 특별히 정찰해야 할 곳은 찾았어?
DIALOG/story/campaign/mech_ice_biome_unlock_02;No, but you can search for promising mission areas within the northern Cryo Fields biome directly through the Orbital Scanner Interface.;Nie, ale możesz zlecić skan w poszukiwaniu takiego miejsca z poziomu interfejsu Skanera Orbitalnego.;Нет, но ты можешь сама поискать подходящие точки для миссий в северных криополях прямо через интерфейс сканера.;Non, mais tu peux chercher des zones de mission prometteuses dans le biome des cryochamps au nord, directement depuis l’interface du scanner orbital.;Nein, aber du kannst direkt über das Interface des Orbitscanners nach vielversprechenden Missionsgebieten innerhalb des nördlichen Kryofeld-Bioms suchen.;No, pero puedes buscar zonas de misiones prometedoras en el bioma de Estepa criogenizada a través de la interfaz del escáner orbital.;Não, mas você pode procurar áreas de missão promissoras dentro do bioma Campos Criogênicos do norte diretamente pela interface do Explorador Orbital.;没有，但你可以直接通过轨道扫描仪界面在北部低温原野生物群落中搜索有希望的任务区域。;無い。だが軌道スキャナのインターフェースから氷雪地帯内の期待できそうなミッション地点を検索できる。;아니요, 하지만 행성 스캐너 접속기를 통해 북부 극저온 지대 생물군계 내 유망한 임무 지역을 직접 검색할 수 있습니다.
DIALOG/story/ice/mech_first_mission_landing_01;Rift jump successful. Extreme weather conditions detected. Outside temperatures in this area can dip below the 170 Kelvin threshold. Be careful, Ashley. Such low temperatures may result in decreased structural integrity of our buildings.;Skok udany. Warunki pogodowe - ekstremalne. Temperatura w tym regionie może spadać poniżej progu 170 Kelvinów. Bądź ostrożna, Ashley. Przy tak niskich temperaturach nasze budynki mogą mieć obniżoną wytrzymałość.;Прыжок прошёл успешно. Погодные условия экстремальные. Температура снаружи может опускаться ниже порога в 170 Кельвинов. Будь осторожна, Эшли. Такие низкие температуры могут привести к снижению структурной целостности наших сооружений.;Saut dimensionnel réussi. Conditions météorologiques extrêmes détectées. La température extérieure de cette zone peut tomber en dessous du seuil des 170 kelvins. Sois prudente, Ashley. De telles températures pourraient endommager l’intégrité structurelle de nos bâtiments.;Riftsprung erfolgreich. Extreme Wetterlage erkannt. Die Außentemperaturen in diesem Gebiet können unter den Schwellenwert von 170°Kelvin fallen. Vorsicht ist geboten, Ashley. Solch niedrige Temperaturen können zu einer Beeinträchtigung von Gebäudestrukturen führen.;Salto dimensional exitoso. Condiciones metereológicas extremas detectadas. Las temperaturas del exterior pueden llegar a los 170 grados Kelvin. Ten cuidado, Ashley. Una temperatura tan baja podría dañar la integridad estructural de nuestros edificios.;Salto de fenda bem-sucedido. Condições climáticas extremas detectadas. As temperaturas externas nesta área podem cair abaixo do limite de 170 K. Cuidado, Ashley, temperaturas tão baixas podem comprometer a integridade estrutural das nossas construções.;裂隙跳跃成功。检测到极端天气条件。该地区室外温度可能降至 170 开尔文（-103°C）以下。小心，阿雪莉。如此低的温度可能会导致我们建筑的结构强度下降。;リフトジャンプに成功。異常気象を確認。この地域の気温は170ケルビン下回る。注意しろ、アシュリー。このような極寒の環境は従来の建造物の構造統合性を低下させる。;리프트 점프 성공. 극한 기상 조건이 감지됩니다. 해당 지역 외부 온도가 170 켈빈 이하로 떨어질 수 있습니다. 조심하세요, 애슐리. 이처럼 낮은 온도는 건물 구조적 안정성을 저하시킬 수 있습니다.
DIALOG/story/ice/ashley_first_mission_landing_01;Understood. The local fauna may prove to be more dangerous than we could otherwise expect it to be. Lets see what else this biome has to offer.;Zrozumiałam. Stworzenia zamieszkujące to miejsce mogą być bardziej niebezpieczne, niż się spodziewaliśmy. Sprawdźmy, co jeszcze ten biom ma do zaoferowania.;Приняла к сведению. Местная фауна может оказаться опаснее, чем мы предполагали. Посмотрим, что ещё приготовил для нас этот биом.;Compris. La faune locale sera peut-être un peu plus dangereuse qu’on le pensait. Voyons ce que ce biome a à nous offrir d’autre.;Verstanden. Die lokale Fauna könnte gefährlicher sein, als wir zunächst angenommen haben. Schauen wir einmal, was dieses Biom sonst noch zu bieten hat.;Entendido. Puede que la fauna local sea más peligrosa de lo que podríamos esperar. Veamos qué tiene que ofrecernos este bioma.;Entendido. A fauna local pode se mostrar mais perigosa do que esperaríamos. Vamos ver o que mais este bioma tem a oferecer.;明白。当地动物群的危险程度可能会远超我们的预期。让我们看看这个生物群落还有什么其他的东西。;了解。ここの動物も予想以上に危険である可能性が出てきたわね。他に何がこのバイオームに眠っているのか見ていきましょう。;알았어. 이 지역의 동물들은 우리가 예상했던 것보다 더 위험할 수 있겠네. 이 생물군계가 또 어떤 것들을 보여 줄지 알아보자.
DIALOG/weather/mech_heavy_snow_warning_01;Atmospheric cooling detected. Snowfall is likely.;Wykryto ochłodzenie atmosfery. Prawdopodobne opady śniegu.;Резкое похолодание. Вероятно выпадение снега.;Rafraîchissement de l’atmosphère détecté. De la neige risque de tomber.;Atmosphärische Abkühlung festgestellt. Schneefall möglich.;Enfriamiento de la atmósfera detectado. Se esperan ventiscas.;Resfriamento atmosférico detectado. É provável que neve.;检测到大气降温。可能会降雪。;気温の低下を検知。降雪が予想される。;대기 냉각이 감지되었습니다. 눈이 내릴 가능성이 있습니다.
DIALOG/weather/mech_heavy_snow_warning_02;Incoming snow clouds detected. Wind speeds are rising slightly.;Nadciągają chmury śnieżne. Prędkość wiatru nieznacznie wzrasta.;Внимание, снежные облака! Ветер усиливается, возможна буря.;Nuages de neige en approche. La vitesse du vent augmente légèrement.;Schneewolken voraus. Windgeschwindigkeit nimmt leicht zu.;Nubes de nieve acercándose. Velocidad del viento aumentando ligeramente.;Detectadas nuvens de neve se aproximando. A velocidade do vento está aumentando levemente.;检测到正在逼近的雪云。风速正在略微增加。;雪雲の接近を検知。風速も僅かに上がっている。;눈 구름이 접근 중입니다. 풍속이 약간 증가하고 있습니다.
DIALOG/weather/ashley_heavy_snow_warning_01;The air’s cooling off. Feels like snow’s coming.;Powietrze się ochładza. Wygląda na to, że zaraz zacznie padać śnieg.;Холодает. Высокая вероятность выпадения снега.;L’air se rafraîchit. On dirait que de la neige va tomber.;Die Luft kühlt sich ab. Es scheint, als würde es bald schneien.;Empieza a hacer frío. Parece que se acerca una tormenta de nieve.;O ar está esfriando. Parece que vai nevar.;空气正在变冷。感觉要下雪了。;気温が下がってきた。これは雪が降るわね。;공기가 차가워지고 있어. 눈이 올 것 같은 느낌이야.
DIALOG/weather/ashley_heavy_snow_warning_02;Clouds are rolling in, and the wind’s picking up a bit.;Chmury się zbierają, a wiatr trochę się wzmaga.;Облака сгущаются, ветер набирает силу.;Les nuages s’amoncellent et le vent accélère légèrement.;Wolken ziehen auf und der Wind wird etwas stärker.;Las nubes empiezan a aparecer y el viento sopla rápido.;Nuvens estão se formando, e o vento está se intensificando um pouco.;乌云密布，风也开始变大了。;雲が近づいてきたわ。風も出てきた。;구름이 몰려오고 바람이 조금씩 거세지고 있어.
DIALOG/weather/mech_heavy_snow_start_01;Light snowfall confirmed. Environmental conditions remain within safe limits.;Potwierdzono lekkie opady śniegu. Warunki środowiskowe pozostają bezpieczne.;Ожидается слабый снегопад. Параметры окружающей среды остаются в пределах нормы.;Légères chutes de neige confirmées. Les conditions environnementales restent dans les limites sûres.;Leichter Schneefall bestätigt. Die Umweltbedingungen liegen weiterhin im unbedenklichen Bereich.;Nevada ligera confirmada. Las condiciones ambientales siguen siendo seguras.;Neve leve confirmada. As condições ambientais permanecem dentro dos limites seguros.;确认有小雪。环境条件保持在安全范围内。;僅かな降雪を確認。環境の状態は安全な範囲内に留まっている。;약한 눈이 내리는 것이 확인되었습니다. 환경 조건은 안전한 범위 내에 유지되고 있습니다.
DIALOG/weather/mech_heavy_snow_start_02;Snowfall ongoing. Moderate winds detected.;Opady śniegu trwają. Wykryto umiarkowany wiatr.;Снегопад продолжается. Ветер умеренный.;Chute de neige en cours. Vents modérés détectés.;Schneefall dauert an. Mäßiger Wind erfasst.;La nieve sigue cayendo. Vientos moderados detectados.;Está nevando. Ventos moderados detectados.;正在降雪。检测到中等风力。;降雪は未だ止まらず。中程度の風も検知。;눈이 계속 내리고 있습니다. 중간 정도의 바람이 감지되었습니다.
DIALOG/weather/ashley_heavy_snow_start_01;Light snow and some wind. Could be worse.;Lekki śnieg i trochę wiatru. Mogło być gorzej.;Лёгкий снегопад и ветер. Могло быть и хуже.;Un peu de neige et du vent, ça pourrait être pire.;Leichter Schneefall und etwas Wind. Könnte schlimmer sein.;Solo es un poco de nieve y viento, podría ser peor.;Neve leve e um pouco de vento. Poderia ser pior.;小雪加点风。情况还不算太糟。;僅かな雪と風。まだマシな方ね。;가벼운 눈과 바람이 좀 불고 있어, 이 정도는 나쁘지 않아.
DIALOG/weather/ashley_heavy_snow_start_02;Snow’s falling now. Wind’s kicking up, but it’s manageable.;Śnieg pada. Wiatr się nasila, ale sytuacja jest pod kontrolą.;Пошёл снег. Ветер набирает силу, но пока что терпимо.;La neige tombe, le vent souffle, mais c’est gérable.;Es schneit nun. Der Wind nimmt zu, aber es ist noch erträglich.;Parece que tenemos algo de nieve. El viento es cada vez más fuerte, pero nada de lo que preocuparse.;Está nevando agora. O vento está aumentando, mas ainda é controlável.;开始下雪了。风变大了，但在可控范围内。;雪が降ってきた。風も強くなってきたけど、まだ大丈夫そうね。;눈이 내리기 시작했어. 바람이 불기 시작했지만, 견딜 만해.
DIALOG/weather/mech_heavy_snow_end_01;Precipitation has stopped. Environmental conditions stabilizing.;Opady ustały. Warunki środowiskowe stabilizują się.;Осадки прекратились. Параметры окружающей среды стабилизируются.;Les précipitations se sont arrêtées. Les conditions environnementales se stabilisent.;Kein Niederschlag mehr. Umweltbedingungen stabilisieren sich.;Las precipitaciones se han detenido. Las condiciones del entorno se están estabilizando.;A precipitação cessou. As condições ambientais estão se estabilizando.;降水已停止。环境条件正在稳定。;降水の停止および気象の安定化を確認。;강수가 멈췄습니다. 환경 조건이 안정화되고 있습니다.
DIALOG/weather/mech_heavy_snow_end_02;Snowfall concluded. Visibility and wind levels returning to normal.;Opady śniegu zakończone. Widoczność i siła wiatru wracają do normy.;Снегопад прекратился. Видимость и ветер приходят в норму.;La neige a arrêté de tomber. Les niveaux de visibilité et de vent reviennent à la normale.;Schneefall ist abgeklungen. Sichtverhältnisse und Windstärke normalisieren sich wieder.;La tormenta de nieve ha terminado. Los niveles de visibilidad y viento están volviendo a la normalidad.;Não neva mais. Visibilidade e níveis de vento retornando ao normal.;降雪结束。能见度和风力等级正在恢复正常。;降雪が停止した。風速および視界は正常化しつつある。;눈이 그쳤습니다. 시야와 풍속이 정상으로 돌아오고 있습니다.
DIALOG/weather/ashley_heavy_snow_end_01;Snow’s stopped. Looks calm again.;Śnieg przestał padać. Znowu jest spokojnie.;Снег прекратился. Вроде стихло.;La neige ne tombe plus. Tout a l’air calme.;Kein Schneefall mehr. Es ist wieder ruhig.;La tormenta de nieve ha parado.;Parou de nevar. Parece calmo novamente.;雪停了。看起来又平静下来了。;雪が止んだわ。落ち着いてきたわね。;눈이 그쳤어. 다시 평온해졌네.
DIALOG/weather/ashley_heavy_snow_end_02;Looks like the weather’s clearing up.;Wygląda na to, że pogoda się poprawia.;Похоже, погода налаживается.;On dirait que le temps s’éclaircit.;Das Wetter scheint sich aufzuklaren.;Parece que el cielo se está despejando.;Parece que o tempo está melhorando.;看来天气要放晴了。;天気が良くなってきた。;날씨가 갤 것 같네.
DIALOG/weather/mech_ice_falling_rocks_warning_01;Warning. Super-dense cloud systems detected. High-mass ice fragments likely to fall.;Ostrzeżenie. Wykryto ultra-gęste układy chmur. Możliwy opad masywnych brył lodu.;Внимание! Обнаружены сверхплотные облака. Вероятно выпадение тяжёлых фрагментов льда.;Avertissement. Systèmes nuageux extrêmement denses détectés. Chute de fragments de glace lourds possible.;Warnung. Superdichte Wolkensysteme erfasst. Es besteht die Gefahr, dass große Eissplitter herabfallen.;Alerta. Sistema de nubes superdensas detectado. Probabilidad alta de que caigan grandes fragmentos de hielo.;Aviso! Sistemas de nuvens superdensas detectados. É provável que fragmentos de gelo de alta densidade caiam.;警告。检测到超高密度云系。可能会有大质量冰块坠落。;警告。超高密度の積乱雲を検知。大規模な降雹が予想される。;경고. 초고밀도 구름 시스템 감지됨. 고밀도 얼음 파편 낙하 가능성 있습니다.
DIALOG/weather/mech_ice_falling_rocks_warning_02;Warning. Atmospheric matter is condensing into unstable ice structures above the area.;Ostrzeżenie. Materia atmosferyczna kondensuje się w niestabilne struktury lodowe nad obszarem.;Внимание! В атмосфере над нами формируются нестабильные ледяные образования!;Avertissement. La matière atmosphérique se condense en structures de glace instables au-dessus de la zone.;Warnung. Atmosphärische Materie kondensiert zu instabilen Eisstrukturen über dem Gebiet.;Alerta. La materia atmosférica se está condensando en estructuras heladas altamente inestables sobre esta zona.;Aviso! A matéria atmosférica está se condensando em estruturas de gelo instáveis sobre a área.;警告。该区域上方的大气物质正在凝结成不稳定的冰体结构。;警告。当該地域上空で大気物質の急激な凝縮を検知。不安定な氷構造が生成されている。;경고. 해당 지역 상공에서 대기 물질이 불안정한 얼음 구조물로 응결되고 있습니다.
DIALOG/weather/ashley_ice_falling_rocks_warning_01;The clouds are turning solid. Looks like we’re about to get ice falling from the sky.;Chmury zaczynają zamarzać. Wygląda na to, że z nieba zaraz poleci lód.;Облака твердеют на глазах. Лёд с неба — это лишь вопрос времени.;Les nuages se solidifient. On dirait que de la glace va bientôt tomber du ciel.;Die Wolken verdichten sich. Es scheint, als würde es bald Eis vom Himmel regnen.;Las nubes se están solidificando. Parece que nos va a llover hielo encima.;As nuvens estão se tornando sólidas. Parece que teremos gelo caindo do céu.;云层正在凝固。看来天上要掉冰块了。;雲が固くなっている。これは氷塊が降ってくるわね。;구름이 점점 짙어지고 있어. 하늘에서 우박이 떨어질 것 같아.
DIALOG/weather/ashley_ice_falling_rocks_warning_02;That doesn’t look like normal weather. Big pieces of ice are forming up above us.;To nie wygląda na normalną pogodę. Nad nami formują się duże bryły lodu.;Это не просто непогода! Прямо над нами собираются массивные ледяные обломки!;Ça ne ressemble pas à un temps normal. De gros morceaux de glace se forment au-dessus de nous.;Das ist kein normales Wetter. Über uns bilden sich große Eisbrocken.;Este clima no es normal. Se están formando grandes bloques de hielo sobre nuestras cabezas.;Isso não parece um clima normal. Grandes pedaços de gelo estão se formando sobre nós.;这看起来不像是正常天气。我们头顶上方正在形成巨大的冰块。;まともな天気じゃないわね。上で大量の氷片が固まってるわ。;평범한 날씨 같지는 않아. 머리 위로 커다란 얼음 덩어리들이 생겨나고 있어.
DIALOG/weather/mech_ice_falling_rocks_start_01;Danger. Atmospheric matter has solidified into falling ice masses.;Zagrożenie. Materia atmosferyczna zestaliła się w spadające masy lodu.;Опасность! В небе сформировались ледяные глыбы, и они падают!;Danger. La matière atmosphérique s’est solidifiée en masses de glace tombant du ciel.;Gefahr. Atmosphärische Materie hat sich zu fallenden Eismassen verfestigt.;Peligro. La materia atmosférica se ha solidificado y va a caernos hielo encima.;Perigo! A matéria atmosférica se solidificou em massas de gelo em queda.;危险。大气物质已凝固成坠落的冰块。;危険。大気物質が大量の氷となって落下する恐れあり。;위험. 대기 중 물질이 고체화되어 얼음 덩어리로 변했습니다.
DIALOG/weather/mech_ice_falling_rocks_start_02;Danger. Anomalous clouds have condensed into massive ice formations. Icefall in progress.;Zagrożenie. Anomalne chmury skondensowały się w masywne formacje lodowe. Trwa opad lodu.;Опасность! Облака сконденсировались в массивные ледяные образования. Ожидается ледопад.;Danger. Des nuages anormaux se sont condensés en formations glaciaires massives. Chute de glace en cours.;Gefahr. Anomale Wolken haben sich zu massiven Eisformationen verdichtet. Es herrscht Eisschlag.;Peligro. Ciertas nubes anómalas se han condensado en gigantescas formaciones de hielo. Ventisca en curso.;Perigo! Nuvens anômalas condensaram-se em enormes formações de gelo. Está chovendo granizo.;危险。异常云层已凝结成巨大的冰体。正在降冰。;危険。異常な量の雲が上空で凝縮されている。氷塊が落下している。;위험. 비정상적인 구름이 거대한 얼음 구조물로 응축되었습니다. 빙하 낙하가 진행 중입니다.
DIALOG/weather/ashley_ice_falling_rocks_start_01;That’s not snow! Huge chunks of ice are falling out of the clouds!;To nie jest śnieg! Z chmur spadają ogromne bryły lodu!;Это не снег! С неба падают огромные глыбы льда!;C’est pas de la neige ! D’énormes morceaux de glace tombent des nuages !;Das ist kein Schnee! Riesige Eisbrocken fallen aus den Wolken!;¡Eso no es nieve! ¡Nos están cayendo encima trozos enormes de hielo!;Isso não é neve! Grandes blocos de gelo estão caindo das nuvens!;那不是雪！云层里掉下来了巨大的冰块！;雪じゃない！雲から大量の氷の塊が降ってきてる！;눈이 아니야! 구름 속에서 커다란 얼음 덩어리들이 떨어지고 있어!
DIALOG/weather/ashley_ice_falling_rocks_start_02;Those clouds are dropping massive slabs of ice! Take cover!;Te chmury zrzucają potężne płyty lodu! Kryć się!;С неба падают целые ледяные плиты! В укрытие!;Ces nuages lâchent d’énormes morceaux de glace ! Tous aux abris !;Aus diesen Wolken fallen riesige Eisschollen! In Deckung!;¡Las nubes están descargando enormes trozos de hielo! ¡A cubierto!;Aquelas nuvens estão lançando enormes blocos de gelo! Procure abrigo!;那些云正在掉下大块的冰板！快寻找掩护！;雲から大量の氷塊が降ってきてる！急いで物陰に隠れて！;저 구름들이 거대한 얼음 덩어리를 떨어뜨리고 있어! 도망쳐!
DIALOG/weather/mech_ice_falling_rocks_end_01;Anomalous cloud structures dispersing. Icefall activity has ceased.;Anomalne struktury chmur ulegają rozproszeniu. Opad lodu ustał.;Аномальные тучи рассеиваются. Ледопад прекратился.;Les structures nuageuses anormales se dispersent. Les chutes de glace ont cessé.;Anomale Wolkenstrukturen lösen sich auf. Der Eisschlag hat aufgehört.;La formación de nubes anómala se está dispersando. La ventisca ha terminado.;Estruturas de nuvens anômalas se dispersando. A chuva de granizo cessou.;异常云体结构正在消散。降冰活动已停止。;異常積乱雲の飛散を確認。降雹は停止した。;이상 구름 구조가 흩어지고 있습니다. 빙하 낙하 활동이 멈췄습니다.
DIALOG/weather/mech_ice_falling_rocks_end_02;Atmospheric density returning to normal. No further ice impacts detected.;Gęstość atmosfery wraca do normy. Nie wykryto dalszych uderzeń lodu.;Плотность воздуха нормализуется. Угроза падения льда миновала.;La densité atmosphérique revient à la normale. Aucun autre impact de glace n’est détecté.;Die atmosphärische Dichte normalisiert sich wieder. Es werden keine weiteren Eisschläge registriert.;Densidad atmosférica volviendo a la normalidad. No se detectan más impactos.;A densidade atmosférica está voltando ao normal. Nenhum impacto de gelo adicional detectado.;大气密度恢复正常。未检测到进一步的冰块撞击。;大気圧の正常化を確認。氷塊の落下は停止した。;대기 밀도가 정상으로 회복 중입니다. 추가적인 얼음 충돌은 감지되지 않습니다.
