;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/buildings_picker_59_tool;Select buildings for Template 59;;Выбрать здания для шаблона 59;;;;;选择建筑物保存为模板-59;;
gui/hud/building_name/buildings_picker_60_tool;Select buildings for Template 60;;Выбрать здания для шаблона 60;;;;;选择建筑物保存为模板-60;;
;;;;;;;;;;
gui/hud/building_description/buildings_picker_25_tool;This tool allows you to select buildings for Template 25.;;Этот инструмент позволяет выбрать здания для формирования шаблона 25.;;;;;这个工具允许玩家选择建筑物保存为模板-25.;;
gui/hud/building_description/buildings_picker_26_tool;This tool allows you to select buildings for Template 26.;;Этот инструмент позволяет выбрать здания для формирования шаблона 26.;;;;;这个工具允许玩家选择建筑物保存为模板-26.;;
gui/hud/building_description/buildings_picker_27_tool;This tool allows you to select buildings for Template 27.;;Этот инструмент позволяет выбрать здания для формирования шаблона 27.;;;;;这个工具允许玩家选择建筑物保存为模板-27.;;
gui/hud/building_description/buildings_picker_28_tool;This tool allows you to select buildings for Template 28.;;Этот инструмент позволяет выбрать здания для формирования шаблона 28.;;;;;这个工具允许玩家选择建筑物保存为模板-28.;;
gui/hud/building_description/buildings_picker_29_tool;This tool allows you to select buildings for Template 29.;;Этот инструмент позволяет выбрать здания для формирования шаблона 29.;;;;;这个工具允许玩家选择建筑物保存为模板-29.;;
gui/hud/building_description/buildings_picker_30_tool;This tool allows you to select buildings for Template 30.;;Этот инструмент позволяет выбрать здания для формирования шаблона 30.;;;;;这个工具允许玩家选择建筑物保存为模板-30.;;
gui/hud/building_description/buildings_picker_31_tool;This tool allows you to select buildings for Template 31.;;Этот инструмент позволяет выбрать здания для формирования шаблона 31.;;;;;这个工具允许玩家选择建筑物保存为模板-31.;;
gui/hud/building_description/buildings_picker_32_tool;This tool allows you to select buildings for Template 32.;;Этот инструмент позволяет выбрать здания для формирования шаблона 32.;;;;;这个工具允许玩家选择建筑物保存为模板-32.;;
gui/hud/building_description/buildings_picker_33_tool;This tool allows you to select buildings for Template 33.;;Этот инструмент позволяет выбрать здания для формирования шаблона 33.;;;;;这个工具允许玩家选择建筑物保存为模板-33.;;
gui/hud/building_description/buildings_picker_34_tool;This tool allows you to select buildings for Template 34.;;Этот инструмент позволяет выбрать здания для формирования шаблона 34.;;;;;这个工具允许玩家选择建筑物保存为模板-34.;;
gui/hud/building_description/buildings_picker_35_tool;This tool allows you to select buildings for Template 35.;;Этот инструмент позволяет выбрать здания для формирования шаблона 35.;;;;;这个工具允许玩家选择建筑物保存为模板-35.;;
gui/hud/building_description/buildings_picker_36_tool;This tool allows you to select buildings for Template 36.;;Этот инструмент позволяет выбрать здания для формирования шаблона 36.;;;;;这个工具允许玩家选择建筑物保存为模板-36.;;
gui/hud/building_description/buildings_picker_37_tool;This tool allows you to select buildings for Template 37.;;Этот инструмент позволяет выбрать здания для формирования шаблона 37.;;;;;这个工具允许玩家选择建筑物保存为模板-37.;;
gui/hud/building_description/buildings_picker_38_tool;This tool allows you to select buildings for Template 38.;;Этот инструмент позволяет выбрать здания для формирования шаблона 38.;;;;;这个工具允许玩家选择建筑物保存为模板-38.;;
gui/hud/building_description/buildings_picker_39_tool;This tool allows you to select buildings for Template 39.;;Этот инструмент позволяет выбрать здания для формирования шаблона 39.;;;;;这个工具允许玩家选择建筑物保存为模板-39.;;
gui/hud/building_description/buildings_picker_40_tool;This tool allows you to select buildings for Template 40.;;Этот инструмент позволяет выбрать здания для формирования шаблона 40.;;;;;这个工具允许玩家选择建筑物保存为模板-40.;;
gui/hud/building_description/buildings_picker_41_tool;This tool allows you to select buildings for Template 41.;;Этот инструмент позволяет выбрать здания для формирования шаблона 41.;;;;;这个工具允许玩家选择建筑物保存为模板-41.;;
gui/hud/building_description/buildings_picker_42_tool;This tool allows you to select buildings for Template 42.;;Этот инструмент позволяет выбрать здания для формирования шаблона 42.;;;;;这个工具允许玩家选择建筑物保存为模板-42.;;
gui/hud/building_description/buildings_picker_43_tool;This tool allows you to select buildings for Template 43.;;Этот инструмент позволяет выбрать здания для формирования шаблона 43.;;;;;这个工具允许玩家选择建筑物保存为模板-43.;;
gui/hud/building_description/buildings_picker_44_tool;This tool allows you to select buildings for Template 44.;;Этот инструмент позволяет выбрать здания для формирования шаблона 44.;;;;;这个工具允许玩家选择建筑物保存为模板-44.;;
gui/hud/building_description/buildings_picker_45_tool;This tool allows you to select buildings for Template 45.;;Этот инструмент позволяет выбрать здания для формирования шаблона 45.;;;;;这个工具允许玩家选择建筑物保存为模板-45.;;
gui/hud/building_description/buildings_picker_46_tool;This tool allows you to select buildings for Template 46.;;Этот инструмент позволяет выбрать здания для формирования шаблона 46.;;;;;这个工具允许玩家选择建筑物保存为模板-46.;;
gui/hud/building_description/buildings_picker_47_tool;This tool allows you to select buildings for Template 47.;;Этот инструмент позволяет выбрать здания для формирования шаблона 47.;;;;;这个工具允许玩家选择建筑物保存为模板-47.;;
gui/hud/building_description/buildings_picker_48_tool;This tool allows you to select buildings for Template 48.;;Этот инструмент позволяет выбрать здания для формирования шаблона 48.;;;;;这个工具允许玩家选择建筑物保存为模板-48.;;
gui/hud/building_description/buildings_picker_49_tool;This tool allows you to select buildings for Template 49.;;Этот инструмент позволяет выбрать здания для формирования шаблона 49.;;;;;这个工具允许玩家选择建筑物保存为模板-49.;;
gui/hud/building_description/buildings_picker_50_tool;This tool allows you to select buildings for Template 50.;;Этот инструмент позволяет выбрать здания для формирования шаблона 50.;;;;;这个工具允许玩家选择建筑物保存为模板-50.;;
gui/hud/building_description/buildings_picker_51_tool;This tool allows you to select buildings for Template 51.;;Этот инструмент позволяет выбрать здания для формирования шаблона 51.;;;;;这个工具允许玩家选择建筑物保存为模板-51.;;
gui/hud/building_description/buildings_picker_52_tool;This tool allows you to select buildings for Template 52.;;Этот инструмент позволяет выбрать здания для формирования шаблона 52.;;;;;这个工具允许玩家选择建筑物保存为模板-52.;;
gui/hud/building_description/buildings_picker_53_tool;This tool allows you to select buildings for Template 53.;;Этот инструмент позволяет выбрать здания для формирования шаблона 53.;;;;;这个工具允许玩家选择建筑物保存为模板-53.;;
gui/hud/building_description/buildings_picker_54_tool;This tool allows you to select buildings for Template 54.;;Этот инструмент позволяет выбрать здания для формирования шаблона 54.;;;;;这个工具允许玩家选择建筑物保存为模板-54.;;
gui/hud/building_description/buildings_picker_55_tool;This tool allows you to select buildings for Template 55.;;Этот инструмент позволяет выбрать здания для формирования шаблона 55.;;;;;这个工具允许玩家选择建筑物保存为模板-55.;;
gui/hud/building_description/buildings_picker_56_tool;This tool allows you to select buildings for Template 56.;;Этот инструмент позволяет выбрать здания для формирования шаблона 56.;;;;;这个工具允许玩家选择建筑物保存为模板-56.;;
gui/hud/building_description/buildings_picker_57_tool;This tool allows you to select buildings for Template 57.;;Этот инструмент позволяет выбрать здания для формирования шаблона 57.;;;;;这个工具允许玩家选择建筑物保存为模板-57.;;
gui/hud/building_description/buildings_picker_58_tool;This tool allows you to select buildings for Template 58.;;Этот инструмент позволяет выбрать здания для формирования шаблона 58.;;;;;这个工具允许玩家选择建筑物保存为模板-58.;;
gui/hud/building_description/buildings_picker_59_tool;This tool allows you to select buildings for Template 59.;;Этот инструмент позволяет выбрать здания для формирования шаблона 59.;;;;;这个工具允许玩家选择建筑物保存为模板-59.;;
gui/hud/building_description/buildings_picker_60_tool;This tool allows you to select buildings for Template 60.;;Этот инструмент позволяет выбрать здания для формирования шаблона 60.;;;;;这个工具允许玩家选择建筑物保存为模板-60.;;
;;;;;;;;;;
gui/hud/building_name/buildings_builder_25_tool;Build using Template 25;;Построить по шаблону 25;;;;;使用模板-25来构造建筑物;;
gui/hud/building_name/buildings_builder_26_tool;Build using Template 26;;Построить по шаблону 26;;;;;使用模板-26来构造建筑物;;
gui/hud/building_name/buildings_builder_27_tool;Build using Template 27;;Построить по шаблону 27;;;;;使用模板-27来构造建筑物;;
gui/hud/building_name/buildings_builder_28_tool;Build using Template 28;;Построить по шаблону 28;;;;;使用模板-28来构造建筑物;;
gui/hud/building_name/buildings_builder_29_tool;Build using Template 29;;Построить по шаблону 29;;;;;使用模板-29来构造建筑物;;
gui/hud/building_name/buildings_builder_30_tool;Build using Template 30;;Построить по шаблону 30;;;;;使用模板-30来构造建筑物;;
gui/hud/building_name/buildings_builder_31_tool;Build using Template 31;;Построить по шаблону 31;;;;;使用模板-31来构造建筑物;;
gui/hud/building_name/buildings_builder_32_tool;Build using Template 32;;Построить по шаблону 32;;;;;使用模板-32来构造建筑物;;
gui/hud/building_name/buildings_builder_33_tool;Build using Template 33;;Построить по шаблону 33;;;;;使用模板-33来构造建筑物;;
gui/hud/building_name/buildings_builder_34_tool;Build using Template 34;;Построить по шаблону 34;;;;;使用模板-34来构造建筑物;;
gui/hud/building_name/buildings_builder_35_tool;Build using Template 35;;Построить по шаблону 35;;;;;使用模板-35来构造建筑物;;
gui/hud/building_name/buildings_builder_36_tool;Build using Template 36;;Построить по шаблону 36;;;;;使用模板-36来构造建筑物;;
gui/hud/building_name/buildings_builder_37_tool;Build using Template 37;;Построить по шаблону 37;;;;;使用模板-37来构造建筑物;;
gui/hud/building_name/buildings_builder_38_tool;Build using Template 38;;Построить по шаблону 38;;;;;使用模板-38来构造建筑物;;
gui/hud/building_name/buildings_builder_39_tool;Build using Template 39;;Построить по шаблону 39;;;;;使用模板-39来构造建筑物;;
gui/hud/building_name/buildings_builder_40_tool;Build using Template 40;;Построить по шаблону 40;;;;;使用模板-40来构造建筑物;;
gui/hud/building_name/buildings_builder_41_tool;Build using Template 41;;Построить по шаблону 41;;;;;使用模板-41来构造建筑物;;
gui/hud/building_name/buildings_builder_42_tool;Build using Template 42;;Построить по шаблону 42;;;;;使用模板-42来构造建筑物;;
gui/hud/building_name/buildings_builder_43_tool;Build using Template 43;;Построить по шаблону 43;;;;;使用模板-43来构造建筑物;;
gui/hud/building_name/buildings_builder_44_tool;Build using Template 44;;Построить по шаблону 44;;;;;使用模板-44来构造建筑物;;
gui/hud/building_name/buildings_builder_45_tool;Build using Template 45;;Построить по шаблону 45;;;;;使用模板-45来构造建筑物;;
gui/hud/building_name/buildings_builder_46_tool;Build using Template 46;;Построить по шаблону 46;;;;;使用模板-46来构造建筑物;;
gui/hud/building_name/buildings_builder_47_tool;Build using Template 47;;Построить по шаблону 47;;;;;使用模板-47来构造建筑物;;
gui/hud/building_name/buildings_builder_48_tool;Build using Template 48;;Построить по шаблону 48;;;;;使用模板-48来构造建筑物;;
gui/hud/building_name/buildings_builder_49_tool;Build using Template 49;;Построить по шаблону 49;;;;;使用模板-49来构造建筑物;;
gui/hud/building_name/buildings_builder_50_tool;Build using Template 50;;Построить по шаблону 50;;;;;使用模板-50来构造建筑物;;
gui/hud/building_name/buildings_builder_51_tool;Build using Template 51;;Построить по шаблону 51;;;;;使用模板-51来构造建筑物;;
gui/hud/building_name/buildings_builder_52_tool;Build using Template 52;;Построить по шаблону 52;;;;;使用模板-52来构造建筑物;;
gui/hud/building_name/buildings_builder_53_tool;Build using Template 53;;Построить по шаблону 53;;;;;使用模板-53来构造建筑物;;
gui/hud/building_name/buildings_builder_54_tool;Build using Template 54;;Построить по шаблону 54;;;;;使用模板-54来构造建筑物;;
gui/hud/building_name/buildings_builder_55_tool;Build using Template 55;;Построить по шаблону 55;;;;;使用模板-55来构造建筑物;;
gui/hud/building_name/buildings_builder_56_tool;Build using Template 56;;Построить по шаблону 56;;;;;使用模板-56来构造建筑物;;
gui/hud/building_name/buildings_builder_57_tool;Build using Template 57;;Построить по шаблону 57;;;;;使用模板-57来构造建筑物;;
gui/hud/building_name/buildings_builder_58_tool;Build using Template 58;;Построить по шаблону 58;;;;;使用模板-58来构造建筑物;;
gui/hud/building_name/buildings_builder_59_tool;Build using Template 59;;Построить по шаблону 59;;;;;使用模板-59来构造建筑物;;
gui/hud/building_name/buildings_builder_60_tool;Build using Template 60;;Построить по шаблону 60;;;;;使用模板-60来构造建筑物;;
;;;;;;;;;;
gui/hud/building_description/buildings_builder_25_tool;This tool allows you to build many buildings using Template 25.;;Этот инструмент позволяет построить множество зданий, используя шаблон 25.;;;;;这个工具允许玩家使用模板-25来构造建筑物.;;
gui/hud/building_description/buildings_builder_26_tool;This tool allows you to build many buildings using Template 26.;;Этот инструмент позволяет построить множество зданий, используя шаблон 26.;;;;;这个工具允许玩家使用模板-26来构造建筑物.;;
gui/hud/building_description/buildings_builder_27_tool;This tool allows you to build many buildings using Template 27.;;Этот инструмент позволяет построить множество зданий, используя шаблон 27.;;;;;这个工具允许玩家使用模板-27来构造建筑物.;;
gui/hud/building_description/buildings_builder_28_tool;This tool allows you to build many buildings using Template 28.;;Этот инструмент позволяет построить множество зданий, используя шаблон 28.;;;;;这个工具允许玩家使用模板-28来构造建筑物.;;
gui/hud/building_description/buildings_builder_29_tool;This tool allows you to build many buildings using Template 29.;;Этот инструмент позволяет построить множество зданий, используя шаблон 29.;;;;;这个工具允许玩家使用模板-29来构造建筑物.;;
gui/hud/building_description/buildings_builder_30_tool;This tool allows you to build many buildings using Template 30.;;Этот инструмент позволяет построить множество зданий, используя шаблон 30.;;;;;这个工具允许玩家使用模板-30来构造建筑物.;;
gui/hud/building_description/buildings_builder_31_tool;This tool allows you to build many buildings using Template 31.;;Этот инструмент позволяет построить множество зданий, используя шаблон 31.;;;;;这个工具允许玩家使用模板-31来构造建筑物.;;
gui/hud/building_description/buildings_builder_32_tool;This tool allows you to build many buildings using Template 32.;;Этот инструмент позволяет построить множество зданий, используя шаблон 32.;;;;;这个工具允许玩家使用模板-32来构造建筑物.;;
gui/hud/building_description/buildings_builder_33_tool;This tool allows you to build many buildings using Template 33.;;Этот инструмент позволяет построить множество зданий, используя шаблон 33.;;;;;这个工具允许玩家使用模板-33来构造建筑物.;;
gui/hud/building_description/buildings_builder_34_tool;This tool allows you to build many buildings using Template 34.;;Этот инструмент позволяет построить множество зданий, используя шаблон 34.;;;;;这个工具允许玩家使用模板-34来构造建筑物.;;
gui/hud/building_description/buildings_builder_35_tool;This tool allows you to build many buildings using Template 35.;;Этот инструмент позволяет построить множество зданий, используя шаблон 35.;;;;;这个工具允许玩家使用模板-35来构造建筑物.;;
gui/hud/building_description/buildings_builder_36_tool;This tool allows you to build many buildings using Template 36.;;Этот инструмент позволяет построить множество зданий, используя шаблон 36.;;;;;这个工具允许玩家使用模板-36来构造建筑物.;;
gui/hud/building_description/buildings_builder_37_tool;This tool allows you to build many buildings using Template 37.;;Этот инструмент позволяет построить множество зданий, используя шаблон 37.;;;;;这个工具允许玩家使用模板-37来构造建筑物.;;
gui/hud/building_description/buildings_builder_38_tool;This tool allows you to build many buildings using Template 38.;;Этот инструмент позволяет построить множество зданий, используя шаблон 38.;;;;;这个工具允许玩家使用模板-38来构造建筑物.;;
gui/hud/building_description/buildings_builder_39_tool;This tool allows you to build many buildings using Template 39.;;Этот инструмент позволяет построить множество зданий, используя шаблон 39.;;;;;这个工具允许玩家使用模板-39来构造建筑物.;;
gui/hud/building_description/buildings_builder_40_tool;This tool allows you to build many buildings using Template 40.;;Этот инструмент позволяет построить множество зданий, используя шаблон 40.;;;;;这个工具允许玩家使用模板-40来构造建筑物.;;
gui/hud/building_description/buildings_builder_41_tool;This tool allows you to build many buildings using Template 41.;;Этот инструмент позволяет построить множество зданий, используя шаблон 41.;;;;;这个工具允许玩家使用模板-41来构造建筑物.;;
gui/hud/building_description/buildings_builder_42_tool;This tool allows you to build many buildings using Template 42.;;Этот инструмент позволяет построить множество зданий, используя шаблон 42.;;;;;这个工具允许玩家使用模板-42来构造建筑物.;;
gui/hud/building_description/buildings_builder_43_tool;This tool allows you to build many buildings using Template 43.;;Этот инструмент позволяет построить множество зданий, используя шаблон 43.;;;;;这个工具允许玩家使用模板-43来构造建筑物.;;
gui/hud/building_description/buildings_builder_44_tool;This tool allows you to build many buildings using Template 44.;;Этот инструмент позволяет построить множество зданий, используя шаблон 44.;;;;;这个工具允许玩家使用模板-44来构造建筑物.;;
gui/hud/building_description/buildings_builder_45_tool;This tool allows you to build many buildings using Template 45.;;Этот инструмент позволяет построить множество зданий, используя шаблон 45.;;;;;这个工具允许玩家使用模板-45来构造建筑物.;;
gui/hud/building_description/buildings_builder_46_tool;This tool allows you to build many buildings using Template 46.;;Этот инструмент позволяет построить множество зданий, используя шаблон 46.;;;;;这个工具允许玩家使用模板-46来构造建筑物.;;
gui/hud/building_description/buildings_builder_47_tool;This tool allows you to build many buildings using Template 47.;;Этот инструмент позволяет построить множество зданий, используя шаблон 47.;;;;;这个工具允许玩家使用模板-47来构造建筑物.;;
gui/hud/building_description/buildings_builder_48_tool;This tool allows you to build many buildings using Template 48.;;Этот инструмент позволяет построить множество зданий, используя шаблон 48.;;;;;这个工具允许玩家使用模板-48来构造建筑物.;;
gui/hud/building_description/buildings_builder_49_tool;This tool allows you to build many buildings using Template 49.;;Этот инструмент позволяет построить множество зданий, используя шаблон 49.;;;;;这个工具允许玩家使用模板-49来构造建筑物.;;
gui/hud/building_description/buildings_builder_50_tool;This tool allows you to build many buildings using Template 50.;;Этот инструмент позволяет построить множество зданий, используя шаблон 50.;;;;;这个工具允许玩家使用模板-50来构造建筑物.;;
gui/hud/building_description/buildings_builder_51_tool;This tool allows you to build many buildings using Template 51.;;Этот инструмент позволяет построить множество зданий, используя шаблон 51.;;;;;这个工具允许玩家使用模板-51来构造建筑物.;;
gui/hud/building_description/buildings_builder_52_tool;This tool allows you to build many buildings using Template 52.;;Этот инструмент позволяет построить множество зданий, используя шаблон 52.;;;;;这个工具允许玩家使用模板-52来构造建筑物.;;
gui/hud/building_description/buildings_builder_53_tool;This tool allows you to build many buildings using Template 53.;;Этот инструмент позволяет построить множество зданий, используя шаблон 53.;;;;;这个工具允许玩家使用模板-53来构造建筑物.;;
gui/hud/building_description/buildings_builder_54_tool;This tool allows you to build many buildings using Template 54.;;Этот инструмент позволяет построить множество зданий, используя шаблон 54.;;;;;这个工具允许玩家使用模板-54来构造建筑物.;;
gui/hud/building_description/buildings_builder_55_tool;This tool allows you to build many buildings using Template 55.;;Этот инструмент позволяет построить множество зданий, используя шаблон 55.;;;;;这个工具允许玩家使用模板-55来构造建筑物.;;
gui/hud/building_description/buildings_builder_56_tool;This tool allows you to build many buildings using Template 56.;;Этот инструмент позволяет построить множество зданий, используя шаблон 56.;;;;;这个工具允许玩家使用模板-56来构造建筑物.;;
gui/hud/building_description/buildings_builder_57_tool;This tool allows you to build many buildings using Template 57.;;Этот инструмент позволяет построить множество зданий, используя шаблон 57.;;;;;这个工具允许玩家使用模板-57来构造建筑物.;;
gui/hud/building_description/buildings_builder_58_tool;This tool allows you to build many buildings using Template 58.;;Этот инструмент позволяет построить множество зданий, используя шаблон 58.;;;;;这个工具允许玩家使用模板-58来构造建筑物.;;
gui/hud/building_description/buildings_builder_59_tool;This tool allows you to build many buildings using Template 59.;;Этот инструмент позволяет построить множество зданий, используя шаблон 59.;;;;;这个工具允许玩家使用模板-59来构造建筑物.;;
gui/hud/building_description/buildings_builder_60_tool;This tool allows you to build many buildings using Template 60.;;Этот инструмент позволяет построить множество зданий, используя шаблон 60.;;;;;这个工具允许玩家使用模板-60来构造建筑物.;;
;;;;;;;;;;
gui/hud/building_name/buildings_builder_mass_25_tool;Mass Build using Template 25;;Массовое строительство по шаблону 25;;;;;使用模板-25来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_26_tool;Mass Build using Template 26;;Массовое строительство по шаблону 26;;;;;使用模板-26来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_27_tool;Mass Build using Template 27;;Массовое строительство по шаблону 27;;;;;使用模板-27来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_28_tool;Mass Build using Template 28;;Массовое строительство по шаблону 28;;;;;使用模板-28来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_29_tool;Mass Build using Template 29;;Массовое строительство по шаблону 29;;;;;使用模板-29来批量构造建筑物;;
